geneID	string_protein_id	propagate_scores
GNAI2	9606.ENSP00000312999	0.0002809987161832267
IL5RA	9606.ENSP00000412209	0.0002786457963713286
ULBP2	9606.ENSP00000356320	0.0002776506113129863
CD58	9606.ENSP00000358501	0.0002773683451735331
CAV1	9606.ENSP00000339191	0.00027603289636217936
IL23A	9606.ENSP00000228534	0.0002750090735098109
GNAS	9606.ENSP00000360141	0.00027453338324480116
FGFR1	9606.ENSP00000393312	0.00027445622825349685
KLRC4	9606.ENSP00000310216	0.00027440794895316367
HMGB1	9606.ENSP00000345347	0.0002740054423990676
AGT	9606.ENSP00000355627	0.0002731497360435452
CCL24	9606.ENSP00000400533	0.0002731325065137416
CBFB	9606.ENSP00000415151	0.00027246621356422367
TNFRSF25	9606.ENSP00000367013	0.0002718610649989261
CD24	9606.ENSP00000481841	0.00027088164835171444
GYPA	9606.ENSP00000354003	0.0002703327016225315
ACKR1	9606.ENSP00000357103	0.00026909290653160815
CRK	9606.ENSP00000300574	0.00026909116955548223
CSK	9606.ENSP00000220003	0.00026875987310435306
IFNL1	9606.ENSP00000329991	0.0002681968468587443
PAX5	9606.ENSP00000350844	0.00026775988145076975
UBB	9606.ENSP00000478771	0.00026711589964813556
EPO	9606.ENSP00000252723	0.0002670652627827665
CCNB1	9606.ENSP00000256442	0.0002661679844065332
RIPK1	9606.ENSP00000259808	0.00026611154706681874
IL22RA1	9606.ENSP00000270800	0.00026498839786304
CREBBP	9606.ENSP00000262367	0.0002645658416487134
FOXO1	9606.ENSP00000368880	0.0002629076976145863
RORC	9606.ENSP00000327025	0.00026275647600485804
FGFR2	9606.ENSP00000410294	0.0002626718730092325
SIRT1	9606.ENSP00000212015	0.0002624723727142139
BDNF	9606.ENSP00000414303	0.00026212408767089255
THBS1	9606.ENSP00000260356	0.00026110564361028174
IL13RA1	9606.ENSP00000360730	0.0002608670061026049
CALML5	9606.ENSP00000369689	0.00026079859132573487
MAPK14	9606.ENSP00000229795	0.0002597598069918091
C3	9606.ENSP00000245907	0.00025949969602855164
CALML3	9606.ENSP00000315299	0.00025928012421630106
FGFR3	9606.ENSP00000339824	0.0002571612266738516
TFRC	9606.ENSP00000376197	0.00025690171528868047
SPI1	9606.ENSP00000227163	0.000256226122913069
INPP5D	9606.ENSP00000405338	0.0002560604616956026
CDH2	9606.ENSP00000269141	0.0002556778916206822
PRKACA	9606.ENSP00000309591	0.00025551948636866724
KITLG	9606.ENSP00000495951	0.00025524855817735435
TNFRSF10A	9606.ENSP00000221132	0.0002547150785165228
PCSK9	9606.ENSP00000303208	0.0002539245634184111
CCL3L1	9606.ENSP00000480558	0.0002537469741834436
CCL3L3	9606.ENSP00000480558	0.0002537469741834436
CALML4	9606.ENSP00000419081	0.000253305412404092
CXCL14	9606.ENSP00000337065	0.00025242016005932154
EPHA2	9606.ENSP00000351209	0.00025167650276215883
